Topic,Group ID,Documents,Words
Topic 00,2010,0.09373179210787531,0.5623907526472519
Topic 00,2011,0.03413950609485421,0.23897654266397944
Topic 01,2010,0.03180025637354431,0.1908015382412659
Topic 01,2011,0.0038938962281792277,0.027257273597254595
Topic 02,2010,0.03180025637354431,0.1908015382412659
Topic 02,2011,0.0038938962281792277,0.027257273597254595
Topic 03,2010,0.03180025637354431,0.1908015382412659
Topic 03,2011,0.0038938962281792277,0.027257273597254595
Topic 04,2010,0.03180025637354431,0.1908015382412659
Topic 04,2011,0.0038938962281792277,0.027257273597254595
Topic 05,2010,0.03180025637354431,0.1908015382412659
Topic 05,2011,0.0038938962281792277,0.027257273597254595
Topic 06,2010,0.03180025637354431,0.1908015382412659
Topic 06,2011,0.0038938962281792277,0.027257273597254595
Topic 07,2010,0.03180025637354431,0.1908015382412659
Topic 07,2011,0.0038938962281792277,0.027257273597254595
Topic 08,2010,0.03180025637354431,0.1908015382412659
Topic 08,2011,0.0038938962281792277,0.027257273597254595
Topic 09,2010,0.03180025637354431,0.1908015382412659
Topic 09,2011,0.0038938962281792277,0.027257273597254595
Topic 10,2010,0.03180025637354431,0.1908015382412659
Topic 10,2011,0.0038938962281792277,0.027257273597254595
Topic 11,2010,0.03180025637354431,0.1908015382412659
Topic 11,2011,0.0038938962281792277,0.027257273597254595
Topic 12,2010,0.03180025637354431,0.1908015382412659
Topic 12,2011,0.0038938962281792277,0.027257273597254595
Topic 13,2010,0.03180025637354431,0.1908015382412659
Topic 13,2011,0.0038938962281792277,0.027257273597254595
Topic 14,2010,0.03180025637354431,0.1908015382412659
Topic 14,2011,0.0038938962281792277,0.027257273597254595
Topic 15,2010,0.03180025637354431,0.1908015382412659
Topic 15,2011,0.0038938962281792277,0.027257273597254595
Topic 16,2010,0.03180025637354431,0.1908015382412659
Topic 16,2011,0.0038938962281792277,0.027257273597254595
Topic 17,2010,0.03180025637354431,0.1908015382412659
Topic 17,2011,0.0038938962281792277,0.027257273597254595
Topic 18,2010,0.03180025637354431,0.1908015382412659
Topic 18,2011,0.0038938962281792277,0.027257273597254595
Topic 19,2010,0.03180025637354431,0.1908015382412659
Topic 19,2011,0.0038938962281792277,0.027257273597254595
Topic 20,2010,0.04738705569342461,0.28432233416054764
Topic 20,2011,0.09931260586022057,0.695188241021544
Topic 21,2010,0.03180025637354431,0.1908015382412659
Topic 21,2011,0.0038938962281792277,0.027257273597254595
Topic 22,2010,2.742301130039948E-4,0.0016453806780239689
Topic 22,2011,0.761412689884086,5.329888829188602
Topic 23,2010,0.03180025637354431,0.1908015382412659
Topic 23,2011,0.0038938962281792277,0.027257273597254595
Topic 24,2010,0.03180025637354431,0.1908015382412659
Topic 24,2011,0.0038938962281792277,0.027257273597254595
Topic 25,2010,0.03180025637354431,0.1908015382412659
Topic 25,2011,0.0038938962281792277,0.027257273597254595
Topic 26,2010,0.03180025637354431,0.1908015382412659
Topic 26,2011,0.0038938962281792277,0.027257273597254595
Topic 27,2010,0.03180025637354431,0.1908015382412659
Topic 27,2011,0.0038938962281792277,0.027257273597254595
Topic 28,2010,0.03180025637354431,0.1908015382412659
Topic 28,2011,0.0038938962281792277,0.027257273597254595
Topic 29,2010,0.03180025637354431,0.1908015382412659
Topic 29,2011,0.0038938962281792277,0.027257273597254595
