Topic,Group ID,Documents,Words
Topic 00,1993,0.4824842793772541,2.483135465329578
Topic 00,1994,0.0030724534116220114,0.018836305431991898
Topic 00,1995,0.0062668013519844076,0.033702894432578796
Topic 00,1996,0.9946445747994784,6.9614324518751065
Topic 00,1997,1.0004538931940445,7.002678245331743
Topic 00,1998,3.061740457012327,16.477512392462256
Topic 00,1999,-0.0010331125214047255,4.3125024486722827E-4
Topic 00,2000,2.173386317174582,10.871540502749937
Topic 00,2001,1.011644267540689,6.059398337410098
Topic 00,2002,1.5960041836241092,9.191204486777961
Topic 00,2003,1.0076324543707407,5.0497085145448874
Topic 00,2004,1.0144141187777367,7.087480622904127
Topic 00,2005,1.0476367130059892,6.213916154705245
Topic 00,2006,0.016913044753519117,0.09389758816779495
Topic 00,2007,5.674630715431459,35.952331870563036
Topic 00,2008,6.573524173062611,40.89413457854598
Topic 00,2009,3.8619169286600434,21.890983806445828
Topic 00,2010,1.0288218843472565,5.16581746147101
Topic 00,2011,1.0899601992729273,8.721047633005647
Topic 00,2012,2.8200648863637374,16.139677081720535
Topic 00,2013,2.4695891054876125,13.362792246550926
Topic 00,2014,1.7691655521942171,10.82884608218885
Topic 01,1993,0.8100736459322821,4.970603180002665
Topic 01,1994,0.005007232352367093,0.027742484072495608
Topic 01,1995,0.008944166604250155,0.0531276027329365
Topic 01,1996,0.0021247258877541784,0.013022333716856056
Topic 01,1997,1.3453704876999542,10.7679377789343
Topic 01,1998,0.010863301985085064,0.07117995018543737
Topic 01,1999,0.5824802310036065,2.9104900786365033
Topic 01,2000,0.4707824235877214,2.5382005587133407
Topic 01,2001,0.7007405870973976,5.553447216597541
Topic 01,2002,0.006331832995067104,0.04955345159639061
Topic 01,2003,1.981116105052584,17.446307031986503
Topic 01,2004,-0.010460408351937884,-0.06694823876296555
Topic 01,2005,1.6230698980188007,14.700418479414877
Topic 01,2006,2.2000357343145787,14.085165319264327
Topic 01,2007,1.0201046860575758,6.1173416502017135
Topic 01,2008,3.7912020365705783,27.69202470789348
Topic 01,2009,0.8529279082312637,5.791721795642618
Topic 01,2010,5.214657829077479,32.852748359074766
Topic 01,2011,4.868677867299237,43.02071281115682
Topic 01,2012,8.750955971768905,59.07306955449444
Topic 01,2013,4.644595064718402,31.418077868892258
Topic 01,2014,2.7862255296678855,14.399626422364342
Topic 02,1993,0.006630500056160953,0.04228981547329422
Topic 02,1994,0.004930498988270933,0.034051470861225536
Topic 02,1995,0.2941292051246406,1.7642443636714984
Topic 02,1996,1.7804119694161387,10.683873047081727
Topic 02,1997,0.3264051666432853,2.274903099610328
Topic 02,1998,0.007877884150188554,0.0493243505916606
Topic 02,1999,2.029366805298979,13.196142244251021
Topic 02,2000,1.346143728590035,7.399710855019069
Topic 02,2001,1.6019187467034708,8.003721153471878
Topic 02,2002,0.005107402197189331,0.037570701124955676
Topic 02,2003,0.29791149330477273,1.498629478948096
Topic 02,2004,1.1300842657289323,6.32615765739587
Topic 02,2005,0.019787507738399157,0.11689518633730611
Topic 02,2006,0.06857127420542301,0.41090481347732366
Topic 02,2007,1.6953387669849236,10.485148667737135
Topic 02,2008,3.0189563867630578,18.2097551058377
Topic 02,2009,1.432338701021914,9.768536285450777
Topic 02,2010,4.009056292174157,24.323708286962685
Topic 02,2011,8.054563069348221,48.7888851180776
Topic 02,2012,6.123107963284949,37.78245311451396
Topic 02,2013,4.195511435127031,24.781441031158945
Topic 02,2014,2.453136607544899,16.56083201837106
Topic 03,1993,3.0008704144690617,21.883488413348182
Topic 03,1994,-1.1035347635892314E-4,-0.001417242452460669
Topic 03,1995,0.24619250773116422,2.1643316080818455
Topic 03,1996,0.328088202673007,1.8562568983401493
Topic 03,1997,2.1215642212901673,16.867899772832196
Topic 03,1998,0.09901041099655374,0.5875507383457698
Topic 03,1999,0.9927755156961271,6.289620401132243
Topic 03,2000,2.848159063119639,15.336757368723488
Topic 03,2001,2.993625583719577,16.77963313011192
Topic 03,2002,0.48712877438428226,2.6700505526191187
Topic 03,2003,2.027423474826022,11.132769700245369
Topic 03,2004,0.5764310923716179,2.888194449663022
Topic 03,2005,0.057756879235354004,0.3606678207658839
Topic 03,2006,2.0033707127881746,10.034939685432835
Topic 03,2007,1.8314131734527055,10.953542546030484
Topic 03,2008,2.6622172225244416,15.578570549378727
Topic 03,2009,2.5454808999088137,19.132460071229296
Topic 03,2010,6.337194117191944,42.56179660765539
Topic 03,2011,4.421771734019501,29.25491462849258
Topic 03,2012,3.4368738382944293,21.02320149476702
Topic 03,2013,3.981860911022674,24.64695072003411
Topic 03,2014,3.4020290273777065,19.896969200742525
Topic 04,1993,0.4990355540257032,2.494456694121211
Topic 04,1994,0.0120028408598848,0.061131628034803986
Topic 04,1995,1.3685140881521154,10.219769566294138
Topic 04,1996,0.0038209097767344163,0.02195371962861507
Topic 04,1997,1.0141370757530015,5.098933310285063
Topic 04,1998,0.0023557831555254673,0.014811100890608846
Topic 04,1999,0.42907604817814765,2.5742581553289607
Topic 04,2000,0.3309394323158148,1.981911132110461
Topic 04,2001,1.1321723061616282,7.807035606921434
Topic 04,2002,0.6716663364853748,3.6618455476018195
Topic 04,2003,0.010045374057280915,0.05986712313010307
